名称,类型,标签
夕阳海滩剪影.jpg,image,夕阳 海滩 落日 剪影 暖色调 自然
红色跑车前45度.jpg,image,红色 跑车 45度 运动 产品展示
城市天际线夜景.jpg,image,城市 天际线 夜景 灯光 建筑
产品白底图01.png,image,产品 白底 商业摄影 简约 电商
美食摆拍俯视图.jpg,image,美食 摆拍 俯视 暖光 商业摄影
建筑外观日景.jpg,image,建筑 外观 日景 蓝天 现代
人物商务肖像.jpg,image,人物 商务 肖像 正装 专业
自然风光全景.jpg,image,自然 风光 全景 山水 绿色
UI设计稿v2.png,image,UI 设计稿 界面 移动端 原型
品牌Logo主版.png,image,品牌 Logo 主版 企业VI 标识
春季新品海报.png,image,春季 新品 海报 促销 粉色
科技产品特写.jpg,image,科技 产品 特写 金属质感 黑色
宣传视频成片.mp4,video,宣传 视频 品牌 广告 产品
产品展示动画.mp4,video,产品 展示 动画 3D 特效
会议记录文档.docx,document,会议 记录 文档 项目 纪要
产品手册v3.pdf,document,产品 手册 规格 技术参数
年度总结报告.xlsx,document,年度 总结 报告 数据 统计
社交媒体图标组.svg,image,社交媒体 图标 UI组件 扁平化
复古相机素材.jpg,image,复古 相机 胶片 文艺 收藏
办公场景团队照.jpg,image,办公 场景 团队 协作 企业
