品牌,型号,屏幕尺寸,分辨率,处理器,内存,存储,后置摄像头,前置摄像头,电池容量,快充功率,操作系统,重量,价格,上市日期,特色功能
苹果,iPhone 15 Pro Max,6.7英寸,2796×1290,A17 Pro芯片,8GB,256GB/512GB/1TB,4800万像素三摄,1200万像素,4422mAh,20W,iOS 17,221g,9999元,2023-09-22,钛合金边框/灵动岛/USB-C接口
苹果,iPhone 15,6.1英寸,2556×1179,A16芯片,6GB,128GB/256GB/512GB,4800万像素双摄,1200万像素,3349mAh,20W,iOS 17,171g,5999元,2023-09-22,灵动岛/USB-C接口
苹果,iPhone 14,6.1英寸,2532×1170,A15芯片,6GB,128GB/256GB/512GB,1200万像素双摄,1200万像素,3279mAh,20W,iOS 16,172g,4699元,2022-09-16,刘海屏/Lightning接口
三星,Galaxy S24 Ultra,6.8英寸,3120×1440,骁龙8 Gen 3,12GB,256GB/512GB/1TB,2亿像素四摄,1200万像素,5000mAh,45W,OneUI 6.1(Android 14),232g,9699元,2024-01-31,S Pen/AI功能/钛合金边框
三星,Galaxy S24,6.2英寸,2340×1080,Exynos 2400,8GB,128GB/256GB,5000万像素三摄,1200万像素,4000mAh,25W,OneUI 6.1(Android 14),167g,5999元,2024-01-31,AI功能/IP68防水
华为,Mate 60 Pro,6.82英寸,2720×1260,麒麟9000S,12GB,256GB/512GB/1TB,5000万像素三摄,1300万像素,5000mAh,88W,HarmonyOS 4.0,225g,6999元,2023-08-29,卫星通话/昆仑玻璃/北斗卫星消息
华为,P60 Pro,6.67英寸,2700×1220,骁龙8+ Gen 1,8GB,256GB/512GB,4800万像素三摄,1300万像素,4815mAh,88W,HarmonyOS 3.1,197g,4988元,2023-03-23,可变光圈/双向北斗卫星
小米,Xiaomi 14 Pro,6.73英寸,3200×1440,骁龙8 Gen 3,12GB/16GB,256GB/512GB/1TB,5000万像素三摄,3200万像素,4880mAh,120W,HyperOS(Android 14),223g,4999元,2023-10-26,徕卡光学/120W秒充
小米,Xiaomi 14,6.36英寸,2670×1200,骁龙8 Gen 3,8GB/12GB/16GB,256GB/512GB/1TB,5000万像素三摄,3200万像素,4610mAh,90W,HyperOS(Android 14),193g,3999元,2023-10-26,徕卡光学/IP68防水
OPPO,Find X7 Ultra,6.82英寸,3168×1440,骁龙8 Gen 3,12GB/16GB,256GB/512GB,5000万像素四摄,3200万像素,5000mAh,100W,ColorOS 14(Android 14),221g,5999元,2024-01-08,哈苏影像/双潜望长焦
vivo,X100 Pro,6.78英寸,2800×1260,天玑9300,12GB/16GB,256GB/512GB/1TB,5000万像素三摄,3200万像素,5400mAh,100W,OriginOS 4(Android 14),221g,4999元,2023-11-13,蔡司光学/自研V3芯片
荣耀,Magic6 Pro,6.8英寸,2800×1280,骁龙8 Gen 3,12GB/16GB,256GB/512GB,5000万像素三摄,5000万像素,5600mAh,100W,MagicOS 8.0(Android 14),229g,4999元,2024-01-11,青海湖电池/鹰眼相机
一加,OnePlus 12,6.82英寸,3168×1440,骁龙8 Gen 3,12GB/16GB/24GB,256GB/512GB/1TB,5000万像素三摄,3200万像素,5400mAh,100W,ColorOS 14(Android 14),220g,4299元,2023-12-05,哈苏影像/24GB运存
Redmi,K70 Pro,6.67英寸,3200×1440,骁龙8 Gen 3,12GB/16GB/24GB,256GB/512GB/1TB,5000万像素三摄,1600万像素,5000mAh,120W,HyperOS(Android 14),209g,3299元,2023-11-29,2K中国屏/120W秒充
realme,GT5 Pro,6.78英寸,2780×1264,骁龙8 Gen 3,12GB/16GB,256GB/512GB/1TB,5000万像素三摄,3200万像素,5400mAh,100W,realmeUI 5.0(Android 14),218g,3399元,2023-12-07,IMX890潜望长焦
