品牌,型号,屏幕尺寸,分辨率,处理器,内存,存储,显卡,电池容量,重量,价格,定位,特色功能
苹果,MacBook Pro 14(M3),14.2英寸,3024×1964,Apple M3 Pro(11核),18GB,512GB/1TB,14核GPU,70Wh,1.55kg,12999元,专业创作,Liquid Retina XDR屏幕/雷雳4/MagSafe充电
苹果,MacBook Air 15(M3),15.3英寸,2880×1864,Apple M3(8核),8GB/16GB,256GB/512GB,10核GPU,66.5Wh,1.51kg,8999元,轻薄办公,无风扇设计/18小时续航
联想,ThinkPad X1 Carbon Gen 11,14英寸,2880×1800,酷睿i7-1365U,16GB,512GB/1TB,集成显卡,57Wh,1.12kg,9999元,商务旗舰,军规耐用/键盘防泼溅/4G LTE
联想,小新Pro 16,16英寸,2560×1600,锐龙7 7840HS,16GB/32GB,512GB/1TB,RTX 4050,75Wh,1.93kg,5999元,全能本,120Hz高刷/全尺寸SD读卡器
华为,MateBook X Pro,14.2英寸,3120×2080,酷睿Ultra 7 155H,16GB/32GB,512GB/1TB/2TB,集成显卡,70Wh,0.98kg,8999元,轻薄旗舰,OLED原色屏/超级终端/3.1K触屏
华为,MateBook 16s,16英寸,2520×1680,酷睿i9-13900H,16GB/32GB,512GB/1TB,集成显卡,84Wh,1.99kg,6999元,大屏创意,专业色准/雷电4接口
小米,RedmiBook Pro 16,16英寸,3072×1920,酷睿Ultra 7 155H,16GB/32GB,512GB/1TB,RTX 4060,99Wh,2.2kg,6999元,性能本,165Hz高刷/100W PD快充
华硕,灵耀14,14英寸,2880×1800,酷睿Ultra 7 155H,16GB,512GB/1TB,集成显卡,75Wh,1.19kg,5999元,轻薄办公,OLED华硕好屏/双雷电4
戴尔,XPS 13 Plus,13.4英寸,3456×2160,酷睿i7-1360P,16GB,512GB/1TB,集成显卡,55Wh,1.23kg,8999元,高端轻薄,3.5K OLED触屏/无缝触控板
惠普,战66六代,15.6英寸,1920×1080,酷睿i5-1335U,16GB,512GB,集成显卡,51Wh,1.74kg,3999元,商务入门,军规测试/丰富接口/双硬盘位
荣耀,MagicBook X 14 Pro,14英寸,1920×1200,锐龙7 7840HS,16GB,512GB,集成显卡,60Wh,1.4kg,3999元,学生本,荣耀分享/OS Turbo
ROG,魔霸新锐,16英寸,2560×1600,酷睿i9-13980HX,16GB,1TB,RTX 4060,90Wh,2.5kg,9999元,游戏本,240Hz电竞屏/冰川散热/RGB键盘
